"entr_tag_id","entr_tag_name","logical_node","sensor_name","presentation_name","si_unit","value_type","data_type","collector_type"
"2307","WTUR.GriOkTms_10m_Sum","WTUR.","GriOkTms_10m_Sum","Time grid Ok ","seconds","Summation","Long","10 minute tag"
"2308","WTUR.GriOkTms_Dly_Sum","WTUR.","GriOkTms_Dly_Sum","Time grid Ok ","seconds","Summation","Long","Daily tag"
"2309","WTUR.GriOkTms_Mly_Sum","WTUR.","GriOkTms_Mly_Sum","Time grid Ok ","seconds","Summation","Long","Monthly tag"
"2310","WTUR.GriOnCnt_10m_End","WTUR.","GriOnCnt_10m_End","Number of times power on","Count","Endvalue","Long","10 minute tag"
"2311","WTUR.GriOnTms","WTUR.","GriOnTms","Power On Time ","seconds","Total Counter","Long","Live Value"
"2312","WTUR.GriOnTms_10m_End","WTUR.","GriOnTms_10m_End","Power On Time ","seconds","Endvalue","Long","10 minute tag"
"2313","WTUR.GriOnTms_10m_Sum","WTUR.","GriOnTms_10m_Sum","Power On Time ","seconds","Summation","Long","10 minute tag"
"2314","WTUR.GriOnTms_Mly_Sum","WTUR.","GriOnTms_Mly_Sum","Power On Time ","seconds","Summation","Long","Monthly tag"
"2315","WTUR.Id","WTUR.","Id","Turbine node id","Enum","Live Value","Long","Live Value"
"2316","WTUR.IntnW","WTUR.","IntnW","Internal Active power ","W","Live Value","Double","Live Value"
"2317","WTUR.IntnW_10m_Avg","WTUR.","IntnW_10m_Avg","Internal Active power ","W","Average","Double","10 minute tag"
"2318","WTUR.IntnW_10m_Max","WTUR.","IntnW_10m_Max","Internal Active power ","W","Maximum","Double","10 minute tag"
"2319","WTUR.IntnW_10m_Min","WTUR.","IntnW_10m_Min","Internal Active power ","W","Minimum","Double","10 minute tag"
"2320","WTUR.IntnW_10m_Std","WTUR.","IntnW_10m_Std","Internal Active power ","W","Standard Deviation","Double","10 minute tag"
"2321","WTUR.LsW","WTUR.","LsW","Lost active power","W","Live Value","Double","Live Value"
"2322","WTUR.LsWh_Dly_Sum","WTUR.","LsWh_Dly_Sum","Lost energy production","Wh","Summation","Double","Daily tag"
"2323","WTUR.MainCBSt","WTUR.","MainCBSt","Main circuit breaker position feedback","Enum","Live Value","Long","Live Value"
"2324","WTUR.NoAlmTms","WTUR.","NoAlmTms","Time with no active alarms","seconds","Total Counter","Long","Live Value"
"2325","WTUR.OpTms","WTUR.","OpTms","Time in state Run","seconds","Live Value","Long",""
"2326","WTUR.OpTms_10m_End","WTUR.","OpTms_10m_End","Time in state Run","seconds","Endvalue","Long","10 minute tag"
"2327","WTUR.OpTms_10m_Sum","WTUR.","OpTms_10m_Sum","Time in state Run","seconds","Summation","Long","10 minute tag"
